,Unnamed: 0.1,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Schedule,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Make and Model,Total_passengers,Fatality_Pecentage,Serious_Inj_Percentage,Minor/NonInj_Percentage,City,State,Region
105,7183,Incident,1984-01-05,"SEATTLE, WA",United States,Incident,Minor,,Boeing,B72790C,No,3.0,Turbo Jet,,0.0,0.0,0.0,6.0,IMC,Approach,Probable Cause,1984,Boeing-B72790C,6.0,0.0,0.0,100.0,Seattle,WA,West
106,7194,Incident,1984-01-07,"SEATTLE, WA",United States,Incident,Minor,,Boeing,727223,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,81.0,IMC,Landing,Probable Cause,1984,Boeing-727223,81.0,0.0,0.0,100.0,Seattle,WA,West
107,7259,Incident,1984-01-18,"JAMAICA, NY",United States,Incident,,,Boeing,747230,No,4.0,Turbo Fan,SCHD,0.0,1.0,3.0,3.0,IMC,Takeoff,Probable Cause,1984,Boeing-747230,7.0,0.0,14.285714285714285,85.71428571428571,Jamaica,NY,Northeast
108,7270,Incident,1984-01-20,"TAMPA, FL",United States,Incident,Minor,,Boeing,727225A,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,152.0,VMC,Cruise,Probable Cause,1984,Boeing-727225A,152.0,0.0,0.0,100.0,Tampa,FL,South
109,7612,Accident,1984-03-04,"LAMPASAS, TX",United States,Non-Fatal,Minor,,Boeing,727200,No,3.0,Turbo Jet,SCHD,0.0,1.0,3.0,44.0,VMC,Cruise,Probable Cause,1984,Boeing-727200,48.0,0.0,2.083333333333333,97.91666666666666,Lampasas,TX,South
110,7648,Incident,1984-03-08,"ERLANGER, KY",United States,Incident,,,Boeing,737200,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,22.0,IMC,Landing,Probable Cause,1984,Boeing-737200,22.0,0.0,0.0,100.0,Erlanger,KY,South
111,7667,Incident,1984-03-10,"DFW AIRPORT, TX",United States,Incident,Minor,,Boeing,72723,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,41.0,VMC,Cruise,Probable Cause,1984,Boeing-72723,41.0,0.0,0.0,100.0,Dfw Airport,TX,South
112,7758,Incident,1984-03-20,"KANSAS CITY, MO",United States,Incident,Minor,,Boeing,727224,No,3.0,Turbo Jet,SCHD,0.0,0.0,1.0,77.0,VMC,Taxi,Probable Cause,1984,Boeing-727224,78.0,0.0,0.0,100.0,Kansas City,MO,Midwest
113,7771,Incident,1984-03-22,"DENVER, CO",United States,Incident,,,Boeing,727224,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,133.0,VMC,Landing,Probable Cause,1984,Boeing-727224,133.0,0.0,0.0,100.0,Denver,CO,West
114,7942,Accident,1984-04-13,"SCAGGS ISLAND, CA",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,2.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1984,Boeing-A75N1,2.0,0.0,100.0,0.0,Scaggs Island,CA,West
